S/N,Publication Details,Year
37,"Ruchi Sharma. 2020. Knowledge Spillovers among Firms in India: Evidence Based on Patent Citation 
Data MIPS 2020 Conference, Held at IIT Bombay, 24-25 January 2020.",2020
38,"Kumar, Akshaya. ‘The Calculus of Platform Media: Logistics, Remediation, Self-Governance and 
Waste,’ at Platform Economies in India, Indian Institute of Technology Bombay, Mumbai, 26-27th 
February, 2020.",2020
39,"Menon, Nirmala Presiding Expert, ‘Imagining Digital Humanities in India’, with panelists from IIT 
Jodhpur, IIT Delhi, Australia and others ",2020
40,"Menon, Nirmala Keynote Speaker, Midnapore College, West Bengal Conference on Literature and 
Recent Developments",2020
41,"Menon, Nirmala Keynote Speaker, University of Pondicherry conference on Digital Humanities 
SPARC-Australia Conference 2020",2020
42,"Menon, Nirmala Digital and Humanities: Fellow Travelers or Inconvenient Bedfellows? Interview with Thilini 
Prasadika, Who is Afraid of the Humanities? A Lankan Podcast September 2020 
https://www.youtube.com/watch?v=DUXvYFWIFyY&t=19s ",2020
43,"Menon, Nirmala DHARTI Speaks series Beyond Defaults: Multilingual DH meets Cultural Analytics 
https://www.youtube.com/watch?v=rxJTFsvvTC8",2020
44,"Menon, Nirmala Invited panelist on UKEIRI lectures series “Artificial Intelligence and Machine 
Learning” June 2020",2020
45,"Menon, Nirmala Electronic Literature as DH: perspectives from Ghana and India 
https://www.youtube.com/watch?v=vlJPu_ZFjsE",2020
46,"Menon, Nirmala Panelist, ADHO Conference at Ontario, Canada (held online due to pandemic) 
Towards and Indian Decolonial/Postcolonial DH https://www.youtube.com/watch?v=pLJgOsC
8ds&t=842s",2020
47,"Menon, Nirmala Keynote Speaker, Japanese Association of Digital Humanities (JADH) Annual 
Conference, December 2020",2020
48,"Ghoshal, Ananya. Invited Talk on ""Why Digital Humanities?"" at the University of Kalyani, West 
Bengal, on July 8, 2019, organized jointly by the Departments of Bengali and Mathematics. ",2019
49,"Ghoshal, Ananya. ""Who tells the ‘story’? Who ‘witnesses? – Storytelling in Digital Humanities-A 
Reappraisal from South Asia"" at The Chicago Colloquium on Digital Humanities and Computer 
Science (DHCS) held at the University of Chicago during November 9-10, 2019. ",2019
50,"Ghoshal, Ananya. ""Border Thinking: Children’s Literature in Bengal"" at the VII Balvant Parekh 
Memorial Lecture and National Symposium based on the topic ""Epistemic Reconstitution(s), 
Colonial/Imperial Differences and Border Thinking"" held during December 13-14, 2019 in Baroda.  ",2019
51,"Kumar, Akshaya. ‘On YouTube: The ‘Free’ Archive,’ at The Idea of the Archive Conference, Indian 
International Center, New Delhi, 8-9th March, 2019. ",2019
52,"Kumar, Akshaya. ‘Provincializing the University,’ at Disciplinary Landscape Forum, School of Advanced 
Studies, University of Tyumen, Tyumen, 8-9th June, 2019.",2019
53,"Kumar, Akshaya. ‘Informality, Archives and Platforms: YouTube and Bhojpuri Media,’ at Platform 
Capitalism, Communication and Culture in South Asia Research Symposium, Curtin University, Perth, 18-19th 
June, 2019.",2019
54,"Kumar, Akshaya. ‘The Growth of Internet Monopolies,’ at Digital Transactions in Asia III, Monash 
University Malaysia, Kuala Lumpur, 20-22nd November, 2019.",2019
55,"Ruchi Sharma, Panel discussant in the session on “Patenting Strategies” held during Second CIP 
Summit 0n November 21, IHC, New Delhi. 2019.",2019
56,"Ruchi Sharma. “Intellectual Property Rights,” workshop organized by Institute Innovation Committee 
at IIT Indore, Indore on January 10, 2019.  ",2019
57,"Menon, Nirmala Invited Talk on Open Access and Scholarly Publishing, FLAMES University, Pune 
2019",2019
58,"Menon, Nirmala Invited Plenary Speaker, International Conference on Media Studies, EFLU 
University, Hyderabad",2019
59,"Menon, Nirmala Invited Speaker, Digital Humanities Lecture Series, Indian Institute of Technology 
(IIT) Jodhpur ",2019
60,"Menon, Nirmala “Women in/and the Digital Age” Invited Public Talk at Indian Institute of 
Gandhinagar (IIT) on occasion of Women’s Day",2019
61,"Menon, Nirmala New Global Trends in the Humanities, Public Invited Talk from Academia 
Europaea, University of Wroclow, Poland",2019
62,"Menon, Nirmala Public Talk on “Grand Challenges in the Humanities in India” Australian Academy 
of Humanities Annual Meeting, Brisbane, Australia",2019
63,"Ghoshal, Ananya. ""Sonic Geographies and the Mapping of 'Thumri'"" presented at the inaugural DHAI 
(The Digital Humanities Alliance of India) Conference on “DH in India; Contestations, Connections 
and Collaborations” held during June 1-2, 2018 at the Indian Institute of Management Indore. ",2018
64,"Ghoshal, Ananya. Poster Presentation, “An Anthropocene Primer” at the 6th Industry-Academia 
Conclave held on November 20, 2018, at IIT Indore.",2018
65,"Ruchi Sharma. 2018. “Intellectual Property Rights Management by Academic Institutes,” during the 
TeQIP programme at IIT Indore in June 2018. ",2018
66,"Ruchi Sharma. 2018. “Intellectual Property Rights,” at Sage University, Indore on October 8, 2018.",2018
67,"Ruchi Sharma. 2018. “Geographical Indications and Trademarks'' during NSIPR-2018 at Shri 
Vaishnav Vidyapeeth Vishwavidyalaya, Indore on March 28, 2018. ",2018
68,"Ruchi Sharma. 2018. “Predictive Analytics using Correlation and Regression” at IIM Indore on March 
9, 2018.",2018
69,"Kumar, Akshaya. ‘Site-specific Informalities: The interpenetrations of neighbourliness in media 
industries,’ at Digital Transitions in Cultural and Creative Industries in India Research Symposium, 
UNESCO, New Delhi, 27-28 February, 2018.",2018
70,"Kumar, Akshaya. ‘The Insurrectionary Tendencies of the Digital: The Viral Fever Comedies and 
Indian Media,’ at Digital Transactions in Asia 2018 Conference, De La Salle University, Manila, 10-12 
October, 2018.",2018
71,"Pritee Sharma, Curriculum Vitae 2. Gerlak, A., Mill-Novoa M., Elder, A., Enechi, O., Sharma P., 
Singh, K. (2018) Issues and Geography in Earth System Governance, at the 2018 Earth System 
Governance Conference held at Utrecht, The Netherlands during November 03-08, 2018. ","2018
"
72,"Sharma, P., Enechi O. and S.N. Kumar (2018) Role of Agency in Allocation and Access in Earth 
System Governance, at the 2018 Earth System Governance Conference held at Utrecht, The 
Netherlands during November 03-08, 2018.",2018
73,"Ruchi Sharma and Mohd. Danish. 2018. Knowledge spillovers from foreign patents. Asia Pacific 
Innovation Conference 2018, Held at Delhi School of Economics, Delhi University, 13-14 December 
2018.",2018
74,"Ruchi Sharma. 2018. FDI Policy Brief: R&D, Patenting and Spillovers. FDI: Issues and Policy, held 
at IIT Bombay on February 24, 2018. ",2018
75,"Menon, Nirmala Digital Humanities in Literature- Keynote Address at Bharthiaar University, 
Coimbatore 2018",2018
76,"Ghoshal, Ananya. “Numinous Eco-Cinema of Michelangelo Frammartino” presented at the VIII 
Annual Seminar “The Enigma of Nature/The Enigma of the Non-Human” organized by IIT 
Gandhinagar during January 27-28, 2017.",2017
77,"Ghoshal, Ananya. “Digital Humanities and Research in the Anthropocene.” at the New Scholars 
Seminar at the Digital Humanities 2017 pre-conference organized by McGill University and the 
Université de Montréal, on August 8, 2017.",2017
78,"Kumar, Akshaya. ‘Govinda at the Cusp: Relaying Provinciality across Territories,’ at Regional Cultures 
and New Media Technologies, Indian Institute of Advanced Studies (IIAS), Shimla, 26-28 April, 2017. ",2017
79,"Kumar, Akshaya. ‘Curatorial Informalities in Vernacular Media Industries,’ at Indian Media Economy 
Conference, Indian Institute of Technology (IIT), Bombay, 6-8 December, 2017.",2017
80,"Sharma, Pritee (2017) Assessing vulnerability of Urban poor to climate change in India, at the 2017 
Earth System Governance Conference held at Lund, Sweden during October 31- November 03, 2017. ",2017
81,"Dhanora, Madan and Ruchi Sharma. 2017. Innovation and competition in Indian medium and high 
technology industries. 12th Annual International Conference on Changing Paradigms in Technology, 
Trade and Development organized by Forum for Global Knowledge Sharing (FGKS), held at 
Nabakrushna Choudhury Centre for Development Studies (NCDS), Bhubaneswar from November 
10-12, 2017. Available at http://fgks.in/index.php/conference-papers",2017
82,"Ruchi Sharma. 2017. “Make in India, Make for India and Innovate in India,” during Make in India 
Conference at Career College Bhopal on 17 February 2017.",2017
83,"Menon, Nirmala “New Directions in Humanities in India” Invited Speaker, Create Lecture Series, 
Edith Cowan University, Australia Nov 2017",2017
84,"Menon, Nirmala “Re-Mapping the Postcolonial Canon” Keynote Speaker, International Conference 
on Language, Literature and Culture, University of Pune, 2017",2017
85,"Menon, Nirmala Invited Research Fellow, Lecture on Re-Mapping the Postcolonial Canon, Edith 
Cowan University, Perth Australia 2017",2017
86,"Menon, Nirmala Invited Speaker, Springer Scholarly Publishing Meet, Kochi ",2017
87,"Menon, Nirmala Invited Speaker, Saint Anselm Lecture Series, Saint Anselm College, New 
Hampshire, April 2017 
",2017
88,"Menon, Nirmala “Digital Humanities: Open Access and Scholarly Publishing in India” ADHO 
Conference of Digital Humanities, Montreal, June 2017",2017
89,"Menon, Nirmala “New Directions in Humanities in India” Invited Speaker, Create Lecture Series, 
Edith Cowan University, Australia Nov 2017",2017
90,"Menon, Nirmala “Re-Mapping the Postcolonial Canon” Keynote Speaker, International Conference 
on Language, Literature and Culture, University of Pune",2017
91,"Ghoshal, Ananya. “Shakespeare on Indian Screen” presented at “Shakespeare Live 400! A Day of 
Celebration”- a joint event of Forum on Contemporary Theory and Balvant Parekh Centre 
commemorating the 400th anniversary of William Shakespeare's death on December 8, 2016, in 
Baroda.",2016
92,"Ghoshal, Ananya. “Subtitles in Indian Cinema (1950-2015): Lost in Translation?” presented at the 
International Conference on “Theorizing [a] Translation: Texts and Contexts” organized by the 
Department of English, Veer Narmad South Gujarat University, Surat during February 9-10, 
2016.",2016
93,"Ghoshal, Ananya. “Restoring Early Musical Voices of India: Challenges and Opportunities”, in the 
workshop ‘Audiovisual Data and Digital Scholarship: Towards Multimodal Literacy’ on July 12 at the 
Digital Humanities 2016 Conference jointly hosted by the Jagiellonian University and the Pedagogical 
University of Kraków (11-16 July 2016) in Kraków, Poland. ",2016
94,"Ghoshal, Ananya. Plenary Performer at ""Rhy-Dhun"" (Lecture- Performance; Vocals, and Kathak) at 
the International Conference ""Materialities: Objects, Matter, Things ""at Doon University, Dehradun, 
18-21 December 2016.",2016
95,"Ghoshal, Ananya. Plenary Speaker on ""Materiality of Music"" at the International Conference 
""Materialities: Objects, Matter, Things,"" at Doon University, Dehradun, 18-21 December 2016.",2016
96,"Dhanora, Madan and Ruchi Sharma. 2016. Do foreign firms enjoy monopoly power under product 
patent regime? Study of Indian pharmaceutical industry. 11th Annual International Conference on 
Globalization of Technology and Development organized by Forum for Global Knowledge Sharing 
(FGKS), 
held 
at 
IIT 
Madras 
from 
http://fgks.in/index.php/conference-papers.",2016
97,"Management (SMRLO) 2016. pp. pp. 633-637.15-18 February, 2016, Beer Sheva, Israel Available 
at: https://doi.org/10.1109/SMRLO.2016.112. ISBN: 978-1-4673-9941-8, IEEE Xplore.",2016
98,"Gupta, G., Khanganba S. P., & Deshmukh, D. (2016). Portable heat exchanger to purify 
water. International Symposium on Stochastic Models in Reliability Engineering, Life Science and Operations",2016
99,"Nirmala Menon Towards a Postcolonial Translation Theory International Comparative Literature 
Association (ICLA), Vienna, Austria July 21-25 2016",2016
100,"Nirmala Menon Postcolonial and Digital Humanities: Intersections and Divergences Public lecture 
at Presidency University, Kolkata, April 6, 2016.",2016
101,"Nirmala Menon Digital Humanities in India-Institutional, Individual and Interdisciplinary 
Challenges and Opportunities Centre for Internet Studies and Srishti Institute of Art and Design, 
Bangalore, August 6-7, 2016.",2016
102,"Nirmala Menon Decolonizing Knowledge Structures Invited Speaker at Event by Tata Institute of 
Social Sciences, Mumbai and Columbia University USA, July 4, 2016",2016
103,"Ghoshal, Ananya. ""Image Text Relations in William Blake's Songs of Innocence and Experience"" presented 
during the III Balvant Parekh Memorial Lecture and Symposium on ""Seeing Madness: Insanity, Media, 
and Visual Culture"", during February 2 -4, 2015 in Baroda. ",2015
104,"Ghoshal, Ananya. “The Philosopher – Sophist contrast in Plato's Sophist” presented at the IV Balvant 
Parekh Memorial Lecture and Symposium on “Europe and the Stranger”, held during October 30 
31, 2015 in Baroda.",2015
105,"Joshi, S. and Sharma Pritee (2015) "" Estimating economic impacts of introducing domestic content 
requirement in Indian Solar Policy Using input output analysis, presented at 23rd International Input 
Output Conference, Mexico City, held during June 21-25, 2015.",2015
106,"Sharma Ruchi, 2015. “An International Perspective on IPRs,” during Innovation and Intellectual 
Property Management, at Ujjain Engineering College Ujjain on March 21, 2015.",2015
107,"Sharma, Pritee (2015) ""Economic Loss Assessment due to Waterlogging and Floods: A Case Study 
of Indore, at ACCCRN Research Workshop on Loss and Damage due to Climate Change, 
Organized by International Institute for Environment and Development (IIED), at Bangkok, 
Thailand, February 9-10, 2015.",2015
108,"Sharma, Pritee, (2015) ""Impact of Agricultural Productivity on Rural Poverty in India: A State-wise 
Analysis"" presented at ICESS-IFRD 2015 (International Conference in Economics and Social 
Sciences- International Foundation for Research and Development) at Penang, Malaysia, during May 
16-17, 2015.",2015
109,"Khanganba S. P., Jakhotiya, G., Goyal, A., & Shukla, S. (2014). Query Task Modulator: A 
Computerized Experimentation System to Study Media-multitasking Behaviour. Humanizing Work 
and Work Environment (HWWE) 2014, pp. 738-743. December 3 – 5, 2014, Indian Institute of 
Technology Guwahati, Guwahati, India. ISBN: 978-93-392-1970-3, Tata Mc Grow Hill.",2014
110,"Sharma Ruchi. 2014. “Data Hunting and Processing,” during Two Day’s National Workshop on 
Research Design, Methodology and Proposal Writing On 26-27 September 2014 at Christian Eminent 
College, Indore. ",2014
111,"Sharma Ruchi. 2014. “Patent Rights for Software in India,” during IPTECH 2014 organized by CII 
and MSME on August 30, 2014.  ",2014
112,"Sharma, Pritee and Ajay Kumar (2014) ""Impact of Climate Variation on Food Security in India: A 
State-wise Panel Data Analysis,"" presented at ACSUS 2015 (The Asian Conference on Social Sciences 
and Sustainability), held at Hiroshima, Japan, during December 02-05, 2014. ",2014
113,"Ambrammal, Sunil Kumar and Ruchi Sharma. 2014. Does patenting influence firm’s efficiency and 
productivity? Evidence from Indian high and medium-tech firms. 9th Annual International Conference 
on Technology: Corporate and Social Dimensions organized by Forum for Global Knowledge Sharing 
(FGKS), held at National Institute of Advanced Studies (NIAS), Bangalore from October 27-29, 2014. 
Available at http://fgks.in/index.php/conference-papers. ",2014
114,"Menon, Nirmala  Translating Mahashweta Devi for the Academic Market “ Seminar titled Market 
Translations, World Literature, and Global Publishing Industry”, American Comparative Literature 
Association (ACLA) Conference, University of Toronto, Canada April 4-7, 2013.",2013
115,"Menon, Nirmala Academic Publishing in the Humanities in Asia Japanese Association of Digital 
Humanities (JADH), University of Tsukuba, Japan Sept 18-21, 2014",2014
116,"Menon, Nirmala Multilingual Academic Publishing as a Digital Humanities Project. THATCamp 
2014, The George Washington University, April 2014",2014
117,"Menon, Nirmala Developing a Multilingual Postcolonial Literary Research Database, ACCS, Japan 
(delivered Online) May 2014. ",2014
118,"Joseph, Justy, Kaviarasu. P, Jyothi Justin and Nirmala Menon. “Digital Humanities Workshops in 
India: Effective Organizing Pedagogies and Sustainable Contributions to Academia”, Digital Research 
in Arts and Humanities, Routledge Publications, 2022 ",2022
119,"Kumar, Akshaya. (2022) ‘Bhojpuri Cinema’, in Vebhuti Duggal, Bindu Menon and Spandan 
Bhattacharya (eds), Film Studies: An Introduction. Delhi/Kolkata: Worldview Publications. ",2022
120,"Kumar, Akshaya. (2022) ‘The Insurrectionary Lateral-ness of Bhojpuri Media.’ In Francesca Orsini 
and Ravikant (eds) Hinglish Live: Language Mixing across Media. Hyderabad: Orient Blackswan, pp. 232
257.",2022
121,"Kumar, Akshaya. (2022) ‘Indian Farmers, Merchant Capitalists and the contest over the Platform 
Economy.’ In Holly Arden, Anna Briers and Nicholas Carah (eds) Conflict in my Outlook. Perimeter 
Editions, 
Melbourne 
and 
UQ 
Art 
Museum, 
https://perimetereditions.com/CONFLICT-IN-MY-OUTLOOK 
Brisbane, 
96-100. 
URL:",2022
122,"Kumar, Akshaya. (2022) ‘ABP News.’ In Gregory A. Borchard (ed) The SAGE Encyclopedia of Journalism. 
Thousand Oaks, CA: Sage, pp. 5-7.",2022
123,"Mohanasundari T, Padma Lakshmi G and Sagar Deshmukh. (2022). Techno-Economic Feasibility of 
Agri Startups in Indian Scenario. In K.David Chella Baskar, K.S.Kumaravel, Sandeep Jain and Anil 
Kumar (Eds.), Agristartup A Sustinopreneurship Approach. International Books and Periodicals Supply 
Service. Pp. 125-131.",2022
124,"Sharma, Ruchi 2022. Schumpeterian Oligopolistic Rivalry. Encyclopedia on the Economics of Knowledge and 
Innovation, edited by Prof. Cristiano Antonelli. Edward Elgar.",2022
125,"Sharma, Ruchi. 2022. Patent Policy and Innovation in Encyclopedia on the Economics of Knowledge and 
Innovation, edited by Prof. Cristiano Antonelli. Edward Elgar.",2022
126,"Khanganba, S. P., & Najar, S. A. (2022). Experience of cognitive workload during in-vehicle 
distractions. In Ergonomics for Design and Innovation (pp. 1471–1479). Springer International Publishing.",2022
127,"Jaya, V., & Khanganba S. P. (2022). Perception shift towards (inter)personal space: Public transport 
and COVID-19 pandemic. In Ergonomics for Design and Innovation (pp. 1007–1017). 
https://doi.org/10.1007/978-3-030-94277-9_86. Springer International Publishing.",2022
128,"Dixit, S., Bhatia, V., Khanganba S. P., & Agrawal, A. (2022c). Future Challenges. In Lecture Notes in 
Networks and Systems (pp. 81–104). https://doi.org/10.1007/978-981-19-0339-7_6. Springer Nature.",2022
129,"Dixit, S., Bhatia, V., Khanganba S. P., & Agrawal, A. (2022e). Techno-economic Challenges. In Lecture 
Notes in Networks and Systems (pp. 75–80). https://doi.org/10.1007/978-981-19-0339-7_5. Springer 
Nature.",2022
130,"Dixit, S., Bhatia, V., Khanganba S. P., & Agrawal, A. (2022d). Systems Architecture and Major Global 
Initiatives. In Lecture Notes in Networks and Systems (pp. 59–74). https://doi.org/10.1007/978-981-19
0339-7_4. Springer Nature.",2022
131,"Dixit, S., Bhatia, V., Khanganba S. P., & Agrawal, A. (2022d). Technology Drivers for 6G. In Lecture 
Notes in Networks and Systems (pp. 25–57). https://doi.org/10.1007/978-981-19-0339-7_3. Springer 
Nature.",2022
132,"Dixit, S., Bhatia, V., Khanganba S. P., & Agrawal, A. (2022c). Key considerations to achieve 5G and 
B5G connectivity in rural areas. In Lecture Notes in Networks and Systems (pp. 17–23). 
https://doi.org/10.1007/978-981-19-0339-7_2. Springer Nature.",2022
133,"Dixit, S., Bhatia, V., Khanganba S. P., & Agrawal, A. (2022b). Digital divide and its current state. In 
Lecture Notes in Networks and Systems (pp. 1–15). https://doi.org/10.1007/978-981-19-0339-7_1. 
Springer Nature.",2022
134,"K. Palanisami, and Mohanasundari T. (2021). “Sustaining tank irrigation in south India 
through time-tested measures”. In K. Fujita and T. Mizushim (Eds.), Sustainable 
Development in India. Taylor &amp; Francis group. Pg. 88-108.",2021
135,"Najar, S., & Khanganba S. P. (2019). Suppressed articulatory rehearsal mechanism and driving 
errors. In Advances in Intelligent Systems and Computing (pp. 55–61). Springer International Publishing.",2019
136,"Najar, S. A., & Khanganba S. P. (2021). Suppressed articulatory rehearsal mechanism, gaze behavior, 
and direction following in distracted driving. In Design Science and Innovation (pp. 263–269). Springer 
Singapore.",2021
137,"Kumar, Akshaya. (2020) ‘The Derivative Values of Platform Capitalism.’ In Adrian Athique and 
Vibodh Parthasarathi (eds) Platform Capitalism in India. London: Palgrave MacMillan, pp. 67-84. ",2020
138,"Kumar, Akshaya. (2020) ‘Informality in the time of Platformization.’ In Adrian Athique and 
Vibodh Parthasarathi (eds) Platform Capitalism in India. London: Palgrave MacMillan, pp. 261-279.",2020
139,"Gerlak, A., Mill-Novoa M., Elder, A., Enechi, O., Sharma P., Singh, K. (2020) Issues and 
Geography in Earth System Governance, In: M. Betsill, T. Benney and A. Gerlak “Agency in Earth 
System Governance.”, Cambridge University Press.",2020
140,"Sharma, P., Enechi O. and S.N. Kumar (2020) Agency in the Allocation of and Access to Natural 
Resources, In: M. Betsill, T. Benney and A. Gerlak “Agency in Earth System Governance.”, 
Cambridge University Press.",2020
141,"Kumar, Akshaya. (2020) ‘Celluloid Visions in a Video Frame: Bhojpuri Cinema between Insurrections 
and Catharsis.’ In Madhuja Mukherjee and Monika Mehta (eds) Industrial Networks and Cinemas of India: 
Shooting Stars, Shifting Geographies and Multiplying Media. London: Routledge, pp. 181-193.",2020
142,"Ashok Kumar Mocherla. 2020. ‘Communism and the Cross: A Caste-class Trajectory of Conversion 
to Christianity in Coastal Andhra, South India’ In: Peter Berger & Sarbeshwar Sahoo (Ed.) Godroads: 
Modalities of Religious Conversions in India. New Delhi: Cambridge University Press. Pp. 68-84.",2020
